Timestamp_ms,SOC_%,SOH_%,Pack_V,Pack_A,ErrorNum,ErrorCellTemp,Temp1_C,Temp2_C,Temp3_C,Temp4_C,Temp5_C,Temp6_C,Temp7_C,Temp8_C,Cell1_V,Cell2_V,Cell3_V,Cell4_V,Cell5_V,Cell6_V,Cell7_V,Cell8_V,Cell9_V,Cell10_V,Cell11_V,Cell12_V,Cell13_V,Cell14_V,Cell15_V,Cell16_V,MaxCharge_V,MaxCharge_A,MaxDischarge_A,MinDischarge_V,Ah,BMS_Temp_C,IO_Status,Balancing_Status_Hex,Contactor_Status
50310,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
51220,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
52210,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
53220,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
54120,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
55110,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
56120,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
57030,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
58020,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
59030,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
59930,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
60920,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
61930,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
62830,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
63830,2.5,80.0,16.22,0.76,0,0,24,27,0,0,0,0,0,0,3.247,3.245,3.245,3.241,3.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.0,52.5,52.5,13.4,164,29,6,0x0000,0
